R: [55, 69, 57] L: [58, 83, 70]
R: [55, 68, 57] L: [56, 83, 71]
R: [56, 69, 57] L: [53, 82, 68]
R: [54, 66, 55] L: [54, 83, 68]
R: [53, 68, 56] L: [56, 85, 71]
R: [53, 66, 55] L: [55, 83, 70]
R: [50, 66, 57] L: [52, 82, 70]
R: [56, 67, 56] L: [56, 84, 69]
R: [54, 69, 55] L: [54, 81, 70]
R: [56, 68, 56] L: [55, 84, 70]
R: [55, 69, 57] L: [56, 83, 71]
R: [55, 68, 56] L: [55, 83, 70]
R: [53, 67, 55] L: [54, 84, 70]
R: [52, 69, 56] L: [58, 85, 76]
R: [54, 67, 56] L: [56, 84, 72]
R: [53, 66, 55] L: [55, 83, 70]
R: [54, 67, 56] L: [55, 83, 71]
R: [55, 68, 56] L: [54, 84, 70]
R: [55, 68, 56] L: [56, 86, 73]
R: [56, 69, 56] L: [56, 84, 70]
R: [56, 69, 57] L: [55, 83, 70]
R: [55, 69, 57] L: [56, 83, 69]
R: [53, 67, 56] L: [55, 83, 71]
R: [56, 66, 59] L: [57, 84, 69]
R: [54, 66, 57] L: [55, 84, 71]
R: [55, 67, 56] L: [55, 84, 71]
R: [54, 70, 54] L: [57, 85, 73]
R: [55, 68, 57] L: [57, 87, 72]
R: [54, 68, 56] L: [54, 83, 68]
R: [54, 69, 56] L: [55, 84, 70]
R: [55, 68, 56] L: [55, 82, 70]
R: [54, 67, 58] L: [56, 86, 70]
R: [55, 68, 56] L: [56, 85, 71]
R: [57, 70, 62] L: [55, 83, 72]
R: [56, 68, 57] L: [56, 82, 71]
R: [55, 68, 56] L: [56, 84, 71]
R: [54, 67, 57] L: [55, 84, 72]
R: [55, 66, 58] L: [54, 82, 70]
R: [52, 63, 54] L: [54, 84, 70]
R: [56, 69, 57] L: [55, 84, 71]
R: [55, 69, 57] L: [55, 83, 70]
R: [53, 68, 55] L: [56, 84, 72]
R: [56, 69, 57] L: [55, 83, 72]
R: [53, 67, 56] L: [55, 84, 70]
R: [54, 67, 56] L: [55, 84, 71]
R: [54, 67, 56] L: [56, 83, 71]
R: [54, 66, 55] L: [55, 84, 69]
R: [57, 67, 54] L: [55, 83, 70]
R: [53, 66, 55] L: [55, 83, 71]
R: [53, 69, 55] L: [55, 84, 72]
R: [53, 66, 55] L: [55, 83, 71]
R: [55, 67, 55] L: [53, 83, 68]
R: [55, 68, 56] L: [55, 83, 71]
R: [55, 68, 56] L: [56, 85, 72]
R: [55, 69, 57] L: [56, 83, 71]
R: [55, 69, 59] L: [56, 85, 71]
R: [54, 67, 56] L: [54, 84, 70]
R: [56, 69, 57] L: [52, 82, 68]
R: [54, 68, 56] L: [56, 84, 71]
R: [54, 65, 59] L: [56, 84, 71]
R: [54, 68, 55] L: [53, 84, 68]
R: [51, 66, 56] L: [56, 84, 70]
